,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,ENSEMBL,symbol
ENSMUSG00000000001,148.11344801218,153.452099222425,155.452671420364,153.543904063079,154.732324373165,150.271893282603,143.129640983718,144.375346705206,145.218793287463,152.201557780957,149.478847332925,148.890808762053,ENSMUSG00000000001,Gnai3
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0,ENSMUSG00000000003,Pbsn
ENSMUSG00000000031,0,0.0164307215058428,0,0,0,0,0,0,0,0,0.0351617440225035,0.0199782636491497,ENSMUSG00000000031,H19
ENSMUSG00000000037,0.284177851615442,0.545474380886578,0.674040258586354,0.512530856449521,0.486381322957198,0.509109422160806,0.335062689148292,0.277932184546971,0.414324830667243,0.279218907623577,0.389105058365759,0.232136540502299,ENSMUSG00000000037,Scml2
ENSMUSG00000000058,3.06365509370955,3.16410671321514,3.3278048832853,2.5165346096806,3.20899954954416,3.50387656161408,2.82764018278674,3.02961448155722,2.44052277680998,2.25117187171266,2.6130424903431,2.34967259507137,ENSMUSG00000000058,Cav2
ENSMUSG00000000085,3.37131328455464,3.49791804502164,3.64845392919415,2.88183469527329,3.35167501501057,3.2131188722537,3.09076070913858,2.96921393967807,3.19060269833828,2.57563392428215,2.84419440537584,2.93902456349714,ENSMUSG00000000085,Scmh1
ENSMUSG00000000131,7.57208172316146,7.49018431157889,7.14253215014448,6.55521694900423,7.32118873790624,7.43266583137052,9.1329405105177,8.51857821803457,8.7061794245437,7.62977905932739,8.09997606592129,8.28367789081708,ENSMUSG00000000131,Xpo6
ENSMUSG00000000134,4.28141150172819,3.86495354552758,4.40957216357354,3.72248926731389,3.81657099474749,3.90521347829349,4.59500032634945,4.4905685007506,4.68492773172624,4.38758711717396,4.44096338359115,4.78398632892465,ENSMUSG00000000134,Tfe3
ENSMUSG00000000148,3.35202584171858,3.71258113875661,3.50177799350613,3.49715505160218,3.84557183097809,3.63862533917979,4.23799600819463,3.73807828108691,3.48037362360382,3.86871004897435,3.75089024293741,4.10051292380959,ENSMUSG00000000148,Brat1
ENSMUSG00000000149,27.2296114543904,24.7437476925885,26.4214642943267,24.1732647986675,25.6577974007366,24.3704136955503,27.4942052571879,27.3075053367996,30.3299304630863,26.672255922145,26.0097647581003,27.6146955574386,ENSMUSG00000000149,Gna12
ENSMUSG00000000154,0.701251095704837,0.874925432491549,1.0051934997487,0.427057118889652,0.647007589896728,0.583283621661033,1.10323089046493,0.810536980749747,0.52534804307854,0.893091673233517,0.99290780141844,0.709219858156028,ENSMUSG00000000154,Slc22a18
ENSMUSG00000000182,1.11492387547539,0.618244392008161,0.21703461268003,0.296380600111439,0.531925182305267,0.669764758008841,0.306259953448487,0.0525017063054549,0.459389930172731,0.153129976724244,0.275633958103638,0.375864488323143,ENSMUSG00000000182,Fgf23
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0,0,0,0,ENSMUSG00000000183,Fgf6
ENSMUSG00000000184,14.5455067852096,14.9365421008844,15.3402991798792,13.095011007027,15.1900047385525,14.8245180351278,17.9976204428818,17.2073943849555,17.6173056547038,15.9155079644132,16.0220552980662,17.4259374954596,ENSMUSG00000000184,Ccnd2
ENSMUSG00000000194,6.56633013931458,6.00027513456715,6.258769799093,5.50262839746893,5.61535376179252,5.72514056742114,6.68824163969795,6.9974497785334,6.76247810604215,5.67213000661169,6.66457876605074,6.35623380690715,ENSMUSG00000000194,Gpr107
ENSMUSG00000000214,0,0,0,0,0,0,0,0,0,0,0,0,ENSMUSG00000000214,Th
ENSMUSG00000000215,0,0,0,0,0,0,0,0,0,0,0,0,ENSMUSG00000000215,Ins2
ENSMUSG00000000216,0,0,0,0,0,0,0,0,0,0,0,0,ENSMUSG00000000216,Scnn1g
ENSMUSG00000000223,0.153664593219089,0.108642303523589,0.166913627043884,0.161760899743535,0.119966217513148,0.134205198470316,0.113967906637491,0.0651245180785662,0.132962557743739,0.107636356268741,0.075218818380744,0.108787547244878,ENSMUSG00000000223,Drp2
ENSMUSG00000000244,9.70130154509396,9.84455440903086,9.50502024349168,10.3804423270936,10.105644013001,9.66779816281095,13.2847262195178,12.9766897302462,13.1187432807365,12.9588514589748,13.5597401529479,13.9604249052485,ENSMUSG00000000244,Tspan32
ENSMUSG00000000247,0,0.0131909589167585,0.0333409276557438,0,0,0.0131909589167585,0,0.040326645831233,0.0522752816330798,0,0,0,ENSMUSG00000000247,Lhx2
ENSMUSG00000000248,0.28043149058685,0.186604879717605,0.104812189657657,0.178913280732829,0.26272002802347,0.171054473074471,0.0924385283786282,0,0.015406421396438,0.0308128427928761,0,0,ENSMUSG00000000248,Clec2g
ENSMUSG00000000266,0.111297168498854,0.168316873345761,0.233986960544835,0.0871447037806277,0.0552935693578837,0.0925742803401684,0.030016509079994,0.00857614545142686,0.075041272699985,0.0500275151333233,0.045024763619991,0.092096107404527,ENSMUSG00000000266,Mid2
ENSMUSG00000000295,4.99506370175356,5.42564423415321,5.29876234089986,4.94893597876457,4.55724387677702,5.24641874894094,4.20347125368046,5.04748621903434,4.58443101399866,4.97184771940699,4.30613668061367,4.37824901737036,ENSMUSG00000000295,Hddc2
ENSMUSG00000000296,0.0992575534998213,0.0275200070451218,0.115930738339686,0.063325607609205,0.0774905461533693,0,0.0327182305980893,0.16826518593303,0.0272651921650744,0.0272651921650744,0.0588928150765607,0.0669236534960917,ENSMUSG00000000296,Tpd52l1
ENSMUSG00000000305,0,0,0,0,0,0,0,0,0,0.0108270103592835,0,0,ENSMUSG00000000305,Cdh4
ENSMUSG00000000308,0.0530665383635695,0.0588526095247063,0,0,0,0,0,0,0.0583076779550331,0,0,0,ENSMUSG00000000308,Ckmt1
ENSMUSG00000000339,11.0372238783154,10.4011698137199,12.3627403717392,13.4591470997001,12.1732903687791,12.9696738508488,10.9750566893424,12.102364755426,11.9677500629882,12.8495842781557,11.3197278911565,12.430426716141,ENSMUSG00000000339,Rtca
ENSMUSG00000000340,11.476510739809,11.213285867925,11.8004874725182,11.6063806317324,10.8573172449411,11.1299157127731,10.2834770542175,10.7047279214987,11.3159546701028,11.088809594608,11.3737734165923,10.5678777065931,ENSMUSG00000000340,Dbt
ENSMUSG00000000355,24.4759839674092,29.6496693447013,28.4627250541051,25.7812991259511,27.8290756130091,26.0971744001749,26.8031189083821,28.2999164578112,26.600064977258,24.772579597141,26.4985380116959,24.9202551834131,ENSMUSG00000000355,Mcts1
ENSMUSG00000000359,0,0.0542414068051269,0,0.0312033899362827,0,0,0,0.0276372882292789,0.0806087573353969,0,0.0290191526407429,0,ENSMUSG00000000359,Rem1
ENSMUSG00000000392,0,0,0.0170248989146627,0.01162452775356,0.0284495021337127,0.0101035615054307,0.0600600600600601,0.0205920205920206,0.0600600600600601,0.02002002002002,0.0540540540540541,0.0737100737100737,ENSMUSG00000000392,Fap
ENSMUSG00000000394,0,0,0,0,0,0,0,0,0,0,0,0,ENSMUSG00000000394,Gcg
