"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","40/465","454/23239",4.49789183344978e-15,1.83289092213079e-11,1.36783257966699e-11,"Loxl3/Htra1/Mertk/Gata2/Sdc4/Ada/Tnfaip3/Arg1/Adora2a/Tmem176a/Il1rl1/Il2ra/Dab2ip/Fbn1/Zbtb46/Tal1/Smpdl3b/Padi2/Pf4/Tmem176b/Gpnmb/Klrk1/Siglecg/Cd22/Cd59a/C1qc/Bank1/Nlrp6/Zc3h12d/Flt3/Gpr55/Lax1/Rab7b/Slamf8/Tarm1/Fcrlb/Mafb/Prnp/Klrb1b/Lrrc32",40
"GO:0031349","BP","GO:0031349","positive regulation of defense response","31/465","336/23239",1.79757508379999e-12,3.66255923324248e-09,2.73326021952536e-09,"Cd36/Ccl24/Fcer1a/Slamf6/Lbp/Tnfaip3/Arg1/Irf7/Il6/Snca/Cd28/Il1rl1/Tnfrsf11a/Dab2ip/Rasgrp1/Zbp1/Smpdl3b/Klrk1/Tgm2/Nlrp6/Ptger3/Tnip3/Tlr1/Nlrp10/Rab7b/Tarm1/Txk/Nectin2/Fabp4/Tlr12/Tlr5",31
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","27/465","302/23239",1.02586580514232e-10,1.21360839543379e-07,9.05680246537479e-08,"Cd79a/Mpl/Slamf6/Sdc4/Cd40/Ada/Arg1/Il6/Cd28/Spta1/Il2ra/Prkcq/Nfatc2/Lef1/Cd38/P2rx7/Gpnmb/Siglecg/Cd22/Itgal/Card11/Zc3h12d/Flt3/Shb/Tarm1/Prnp/Lrrc32",27
"GO:0032943","BP","GO:0032943","mononuclear cell proliferation","27/465","304/23239",1.19127204459758e-10,1.21360839543379e-07,9.05680246537479e-08,"Cd79a/Mpl/Slamf6/Sdc4/Cd40/Ada/Arg1/Il6/Cd28/Spta1/Il2ra/Prkcq/Nfatc2/Lef1/Cd38/P2rx7/Gpnmb/Siglecg/Cd22/Itgal/Card11/Zc3h12d/Flt3/Shb/Tarm1/Prnp/Lrrc32",27
"GO:0042110","BP","GO:0042110","T cell activation","34/465","480/23239",2.19699997043156e-10,1.79055497590172e-07,1.33623850833195e-07,"Loxl3/Slamf6/Sdc4/Ada/Arg1/Adora2a/Il6/Cd28/Il18r1/Spta1/Il2ra/Prkcq/Rasgrp1/Sla2/Lef1/Tnfsf8/P2rx7/Gpnmb/Lat/Itgal/Il2rg/Dpp4/Card11/Fut7/Zc3h12d/Flt3/Shb/Lax1/Tarm1/Txk/Rag1/Mafb/Prnp/Lrrc32",34
"GO:0050727","BP","GO:0050727","regulation of inflammatory response","27/465","318/23239",3.27580921801817e-10,2.04527515368634e-07,1.52632868427507e-07,"Apoe/Ccl24/Fcer1a/Ggt1/Lbp/Ada/Tnfaip3/Adora2a/Il6/Snca/Cd28/Il1rl1/Tnfrsf11a/Cd55/Il2ra/Smpdl3b/Usp18/Siglecg/Cd59a/Mgll/Tgm2/Nlrp6/Ptger3/Nlrp10/Slamf8/Tarm1/Fabp4",27
"GO:0070661","BP","GO:0070661","leukocyte proliferation","27/465","319/23239",3.51335609222194e-10,2.04527515368634e-07,1.52632868427507e-07,"Cd79a/Mpl/Slamf6/Sdc4/Cd40/Ada/Arg1/Il6/Cd28/Spta1/Il2ra/Prkcq/Nfatc2/Lef1/Cd38/P2rx7/Gpnmb/Siglecg/Cd22/Itgal/Card11/Zc3h12d/Flt3/Shb/Tarm1/Prnp/Lrrc32",27
"GO:0002253","BP","GO:0002253","activation of immune response","34/465","496/23239",5.19222552966626e-10,2.64478987917375e-07,1.97372888884287e-07,"Cd36/Cd79a/Lbp/Ada/Tnfaip3/Irf7/Cd28/Cd55/Dab2ip/Nfatc2/Ermap/Smpdl3b/Cd38/Klrk1/Cd19/Cd59a/C1qa/C1qc/C1qb/Nlrp6/C3ar1/Lat2/Cmklr1/Tnip3/Shb/Tlr1/Lax1/Rab7b/Txk/Nectin2/Tlr12/Skint3/Prnp/Tlr5",34
"GO:1902105","BP","GO:1902105","regulation of leukocyte differentiation","25/465","287/23239",8.80078447850608e-10,3.98479963887914e-07,2.9737387553689e-07,"Loxl3/Gata2/Ada/Tmem176a/Il6/Cd28/Il2ra/Gfi1b/Fbn1/Rasgrp1/Car2/Zbtb46/Lef1/Tal1/Pf4/Tmem176b/Il2rg/Card11/C1qc/Flt3/Shb/Gpr55/Rag1/Mafb/Cd101",25
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","29/465","382/23239",9.94880983109735e-10,3.98931249571591e-07,2.97710656767795e-07,"Loxl3/Sdc4/Ada/Tnfaip3/Arg1/Adora2a/Il6/Cd28/Spta1/Il2ra/Prkcq/Itga6/Rasgrp1/Lef1/Plpp3/Pdpn/Gpnmb/Itgal/Il2rg/Dpp4/Card11/Zc3h12d/Ptger3/Shb/Lax1/Tarm1/Rag1/Prnp/Lrrc32",29
