"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000041801",92.890944883112,2.01655098407433,0.20715383234189,9.73455794313367,2.14749361859965e-22,8.44975577341946e-20,"Phlda3","27280"
"ENSMUSG00000048458",38.7721673846091,1.9449171561556,0.319948190567669,6.07885030605995,1.21047294927561e-09,5.78346682693181e-08,"Inka2","109050"
"ENSMUSG00000034457",41.4522330100116,1.86298547690571,0.293842372065878,6.34008452834037,2.2963913566019e-10,1.2957211215108e-08,"Eda2r","245527"
"ENSMUSG00000006445",40.8786645315667,1.55668504626382,0.277218981548023,5.6153624025711,1.96150695317618e-08,7.28917778321971e-07,"Epha2","13836"
"ENSMUSG00000062515",96.8637074171774,1.50497876962496,0.275135970805723,5.46994551536717,4.50173947686258e-08,1.56834038337155e-06,"Fabp4","11770"
"ENSMUSG00000030769",21.0919212503638,1.34609762793522,0.466499626347416,2.88552777303351,0.00390757982790003,0.030357492995149,"Slc5a11","233836"
"ENSMUSG00000051379",77.9571940230561,1.2541727775801,0.260577112004956,4.81305809220974,1.48638058996766e-06,3.75184896841271e-05,"Flrt3","71436"
"ENSMUSG00000038569",39.7937865957066,1.24180920752571,0.31708493144691,3.91632993046731,8.99071875685438e-05,0.00137632382271003,"Rad9b","231724"
"ENSMUSG00000026817",73.5527154689321,1.20634592928442,0.217420286064979,5.5484515778987,2.88210680602781e-08,1.03647378631828e-06,"Ak1","11636"
"ENSMUSG00000049515",20.8884307852763,1.20071273231074,0.385866589073017,3.11173023607788,0.00185994375953869,0.0171839279109866,"Espnl","227357"
"ENSMUSG00000061882",25.6652765408738,1.10796703871255,0.376448795174487,2.94320782245829,0.00324830279217584,0.0262414219527345,"Ccdc62","208908"
"ENSMUSG00000029207",23.9048125751993,1.08608090993828,0.404267039038929,2.68654331186694,0.0072195587489701,0.0489729056541477,"Apbb2","11787"
"ENSMUSG00000027663",225.115999458225,1.04655755586144,0.123067137920851,8.50395624325413,1.83236626557197e-17,4.08556598347029e-15,"Zmat3","22401"
"ENSMUSG00000029304",5626.10768615023,1.0345088738363,0.0917365122090147,11.2769588566791,1.70539987534394e-29,1.26749108513062e-26,"Spp1","20750"
"ENSMUSG00000097145",83.6220338879338,1.00396114821224,0.206668088669358,4.85784309844972,1.18671386799069e-06,3.13752136877064e-05,"9230114K14Rik","414108"
"ENSMUSG00000087203",39.3516304955644,0.986690670765851,0.297405093945768,3.31766567167735,0.000907730653068889,0.00974608401023724,"Gm13986","329496"
"ENSMUSG00000057337",102.186870907547,0.969623030218869,0.208104763203193,4.65930243639897,3.17282748403294e-06,7.41436508158072e-05,"Chst3","53374"
"ENSMUSG00000019987",16721.5144271439,0.951631854948826,0.0470224941397072,20.2378004901539,4.5502798496493e-91,3.04368219143042e-87,"Arg1","11846"
"ENSMUSG00000078137",50.5080579259475,0.935887729579763,0.290920330397967,3.21698977964003,0.00129543213380081,0.0129955475337009,"Ankrd63","383787"
"ENSMUSG00000070858",61.3667131295089,0.92739486290385,0.230896626340045,4.01649377734112,5.90704229536159e-05,0.000970815870114832,"Gm1673","381633"
"ENSMUSG00000026628",291.872206567219,0.922178617392588,0.169578064297887,5.4380772726162,5.38586169214933e-08,1.82873242938005e-06,"Atf3","11910"
"ENSMUSG00000030641",386.982754358152,0.901815364650929,0.113994719852164,7.91102750917292,2.5527310889733e-15,4.16468737905913e-13,"Ddias","74041"
"ENSMUSG00000028214",60.1486219812963,0.899794575319381,0.2909344342757,3.09277441688701,0.00198294805214122,0.0179972042344269,"Gem","14579"
"ENSMUSG00000038539",1028.89923479999,0.897927729626392,0.0625378966811745,14.3581376617786,9.47388782583685e-47,1.26741671334045e-43,"Atf5","107503"
"ENSMUSG00000029379",1291.51788348107,0.895698332083155,0.224951802602988,3.98173440585382,6.84142040835138e-05,0.00110270508702319,"Cxcl3","330122"
"ENSMUSG00000026358",94.2084423346856,0.883706328986487,0.233347162182093,3.78708839105951,0.00015242288922689,0.00216926958731631,"Rgs1","50778"
"ENSMUSG00000044162",104.92270162993,0.84818669097945,0.277849100409974,3.05268827477911,0.00226801405683466,0.0199878076761094,"Tnip3","414084"
"ENSMUSG00000030223",75.6287811400336,0.84613203953981,0.268322550050744,3.15341382742447,0.00161372864311133,0.015442390405968,"Ptpro","19277"
"ENSMUSG00000037108",77.3382034148179,0.839131555354077,0.233106802045953,3.59977292807035,0.000318495185430135,0.00412870987469413,"Zcwpw1","381678"
"ENSMUSG00000074738",48.948020044123,0.838399268080022,0.254480716306422,3.29454930907417,0.000985796475466376,0.0104006192813795,"Fndc10","230991"
"ENSMUSG00000045502",1193.76592581082,0.815992060212263,0.189082402640842,4.31553676500623,1.59215549289601e-05,0.000309590932906436,"Hcar2","80885"
"ENSMUSG00000048621",59.6008029670683,0.815597818594964,0.270913499332954,3.01054698493482,0.00260777598447533,0.022363350718148,"Gm6377","622976"
"ENSMUSG00000015134",113.271344359299,0.81233145745785,0.177030515337873,4.58865216489635,4.46117061194519e-06,0.000101155153299327,"Aldh1a3","56847"
"ENSMUSG00000003420",329.830258180503,0.798634641657443,0.171945508725899,4.64469614574557,3.40577339444527e-06,7.85559249498084e-05,"Fcgrt","14132"
"ENSMUSG00000052684",858.940447708299,0.793215711541548,0.0988197690947994,8.02689298717752,9.99722158740549e-16,1.79993861280362e-13,"Jun","16476"
"ENSMUSG00000089809",117.444370724023,0.790890495832657,0.226611491205465,3.49007233316147,0.000482889825467089,0.0058835155601992,"A930011G23Rik","319818"
"ENSMUSG00000030200",59.7335112145397,0.784105165877306,0.230716621402072,3.39856383606987,0.000677406522879173,0.00769299190414055,"Bcl2l14","66813"
"ENSMUSG00000036256",83.0400687907226,0.774094746605545,0.204970444155125,3.7766164277797,0.000158973264922177,0.00224340120055789,"Igfbp7","29817"
"ENSMUSG00000027171",148.11027871948,0.772825276012346,0.148192536022623,5.21500810198947,1.83809201074948e-07,5.79952710372795e-06,"Prrg4","228413"
"ENSMUSG00000030208",1029.19612927201,0.768305758324031,0.0725553023460608,10.5892434250981,3.34282659719105e-26,2.03274246441918e-23,"Emp1","13730"
