"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000000486",989.154379877309,-1.04382074497952,0.0624841703830705,-16.7053629516114,1.19796842624806e-62,2.91075610439143e-60,"Sept1","54204"
"ENSMUSG00000000562",139.091888526317,-0.537696521598128,0.178457261971372,-3.01302684832397,0.0025865603315992,0.0162665566801943,"Adora3","11542"
"ENSMUSG00000000627",32.4817625275196,-1.95356252401054,0.377455652995305,-5.17560807079724,2.27169888797126e-07,3.82355571268484e-06,"Sema4f","20355"
"ENSMUSG00000001249",61.5953911914085,-1.54819609275046,0.262511997788112,-5.89762032133896,3.68781340696863e-09,8.2225223163376e-08,"Hpn","15451"
"ENSMUSG00000001763",169.317814726124,-3.04711417190165,0.187647084266293,-16.2385372723269,2.69268400950981e-59,5.67019414980333e-57,"Tspan33","232670"
"ENSMUSG00000001768",690.701122833838,-0.679013388545644,0.0869159195292893,-7.81230173048825,5.61529351204365e-15,2.25468310678498e-13,"Rin2","74030"
"ENSMUSG00000001865",1074.96196334413,-1.20872277913214,0.0641499856580695,-18.8421363891621,3.40922962975749e-79,1.11399517143386e-76,"Cpa3","12873"
"ENSMUSG00000001930",572.650296897083,-1.07676849044134,0.0900488180125384,-11.9576082641241,5.92437832650833e-33,7.19736013102474e-31,"Vwf","22371"
"ENSMUSG00000002104",54.8480918719613,-1.30079985566016,0.260769612044651,-4.9883107370556,6.09095426628033e-07,9.50871212969891e-06,"Rapsn","19400"
"ENSMUSG00000002233",106.293614313219,-0.67782597747584,0.168741094610515,-4.01695851885034,5.89540964475139e-05,0.000620032206366972,"Rhoc","11853"
"ENSMUSG00000002944",40.3335247255385,-1.64867810785991,0.309990683936618,-5.31847630684607,1.04639843042079e-07,1.85686732709127e-06,"Cd36","12491"
"ENSMUSG00000002957",1926.50141502645,-0.588976720079262,0.0507538335307015,-11.6045760311481,3.90618767895943e-31,4.40655171974042e-29,"Ap2a2","11772"
"ENSMUSG00000002985",3043.3789824347,-2.56802806589573,0.121217394160685,-21.1853099439803,1.30464415692719e-99,4.94512321241684e-97,"Apoe","11816"
"ENSMUSG00000003379",102.906595406948,-1.19869974182313,0.189457202656,-6.3270212217776,2.49938992750412e-10,6.52457822397494e-09,"Cd79a","12518"
"ENSMUSG00000003420",329.830258180503,-2.83700563830146,0.132567901046236,-21.4003964452298,1.32476867981253e-101,5.23062833745982e-99,"Fcgrt","14132"
"ENSMUSG00000003617",13.9138192570046,-1.62918171766166,0.547896468038407,-2.97352111703603,0.00294404148118593,0.0181567257997447,"Cp","12870"
"ENSMUSG00000004105",88.9757356860849,-0.89783735582753,0.207062495371483,-4.33606942781576,1.45053145282308e-05,0.000179676288195445,"Angptl2","26360"
"ENSMUSG00000004110",64.8839447725976,-0.684528097938029,0.22793066521329,-3.00322950094263,0.00267130901689782,0.0167084648476064,"Cacna1e","12290"
"ENSMUSG00000004317",797.59879443684,-0.739603344076679,0.0706809734496727,-10.4639665808126,1.26448748938886e-25,1.04193769125642e-23,"Clcn5","12728"
"ENSMUSG00000004328",56.8060909239946,-1.40057567602262,0.264944006657937,-5.28630820409864,1.24809544044274e-07,2.1780759472625e-06,"Hif3a","53417"
"ENSMUSG00000004552",619.015380654306,-1.10645328891824,0.0820467036530725,-13.4856519476612,1.89978723001224e-41,2.76959750639939e-39,"Ctse","13034"
"ENSMUSG00000004612",1283.15520281867,-0.975108815396418,0.0646836408297288,-15.0750452956608,2.36353739416198e-51,4.47937606941578e-49,"Nkg7","72310"
"ENSMUSG00000004655",525.598846403504,-3.3080606221982,0.11187986181068,-29.5679720072949,3.85831236174601e-192,4.57017099248815e-189,"Aqp1","11826"
"ENSMUSG00000004707",269.182766106434,-0.645349058884027,0.124852402054156,-5.16889581831275,2.35481114079696e-07,3.94941422481274e-06,"Ly9","17085"
"ENSMUSG00000004814",1138.92400227362,-3.68804960588061,0.0930936835196506,-39.6165396667554,0,0,"Ccl24","56221"
"ENSMUSG00000004952",410.094598677019,-0.680933715487204,0.100086683996014,-6.80343966150702,1.02150285638005e-11,3.10248752149274e-10,"Rasa4","54153"
"ENSMUSG00000005107",161.935079538387,-1.3345713647446,0.155286087943987,-8.59427513703601,8.37920381597365e-18,4.24606071444739e-16,"Slc2a9","117591"
"ENSMUSG00000005339",250.881387857374,-1.74422498214531,0.127773849498205,-13.6508760516745,1.99466112427232e-42,3.04861432477493e-40,"Fcer1a","14125"
"ENSMUSG00000005364",56.6741373331445,-0.812725004466727,0.267814056488496,-3.03466149283929,0.0024080579583951,0.0154076686115813,"Il5ra","16192"
"ENSMUSG00000005474",1712.24307791992,-0.51457967734901,0.0484755871437911,-10.6152335158445,2.53160632071178e-26,2.16121635090674e-24,"Myl10","59310"
"ENSMUSG00000005611",208.89313089227,-1.46874925326971,0.136526687778795,-10.7579644475769,5.43575757739789e-27,4.90564179080213e-25,"Mrvi1","17540"
"ENSMUSG00000005686",739.421183633426,-0.886351400189861,0.0780469939538086,-11.3566372679829,6.87399436850747e-30,7.57418263209032e-28,"Ampd3","11717"
"ENSMUSG00000005802",267.383492496674,-0.870948487205412,0.109148402375964,-7.97948910150246,1.46940218624031e-15,6.27209689946538e-14,"Slc30a4","22785"
"ENSMUSG00000005883",4.89783215729896,-2.4110524021542,0.945072333215364,-2.55118292792598,0.0107357960602438,0.0518513779137973,"Spo11","26972"
"ENSMUSG00000006205",16.2484528367392,-1.21456230885205,0.50057370618279,-2.4263406044914,0.0152519485279108,0.0681733321936239,"Htra1","56213"
"ENSMUSG00000006219",235.959084381824,-0.82474470126722,0.134228362309782,-6.14434004166581,8.02966611423954e-10,1.94104888006464e-08,"Fblim1","74202"
"ENSMUSG00000006345",39.7936029690156,-1.52140033440222,0.329914261677579,-4.61150217231006,3.99769479118983e-06,5.49016751323403e-05,"Ggt1","14598"
"ENSMUSG00000006389",146.896393367526,-0.828356208039205,0.170422195183232,-4.86061224096185,1.17023271694808e-06,1.75460842180379e-05,"Mpl","17480"
"ENSMUSG00000006800",240.406226458147,-0.590304623000778,0.149352177775793,-3.95243398383479,7.73602751871817e-05,0.000784867203076803,"Sulf2","72043"
"ENSMUSG00000007872",84.2046751937245,-1.1470622711282,0.22703041119857,-5.05246087989917,4.36153708468985e-07,6.98140632002044e-06,"Id3","15903"
"ENSMUSG00000008153",216.677290708643,-0.528593776806641,0.131681759859908,-4.01417612711886,5.96537914394695e-05,0.000626001470299461,"Clstn3","232370"
"ENSMUSG00000008193",111.651800525119,-1.15038071496266,0.191420665512507,-6.0096996940359,1.85867293241077e-09,4.31610658413765e-08,"Spib","272382"
"ENSMUSG00000008496",171.724593022164,-0.624241230300783,0.148357844910602,-4.20767254119214,2.58014385621686e-05,0.000297800769567734,"Pou2f2","18987"
"ENSMUSG00000008843",74.6729065787302,-3.41831255100457,0.306492264572009,-11.1530141087833,6.92211226527241e-29,6.97807827933205e-27,"Cldn13","57255"
"ENSMUSG00000008845",720.275640129256,-2.98871574601775,0.1007527129614,-29.6638736384475,2.24648960721698e-193,3.0411050739983e-190,"Cd163","93671"
"ENSMUSG00000009418",281.243207318622,-0.821150927476215,0.116092736611738,-7.07323258493324,1.51365467506077e-12,5.03276901785118e-11,"Nav1","215690"
"ENSMUSG00000009621",296.307021531879,-0.592237511244015,0.116190356161045,-5.09713138690397,3.4483900275457e-07,5.64368633869137e-06,"Vav2","22325"
"ENSMUSG00000010461",2.22525378238299,-3.53172885616971,1.54234955954968,-2.28983684943696,0.0220307761431727,0.0912427561489466,"Eya4","14051"
"ENSMUSG00000011008",131.052080830461,-2.55254617285502,0.192169816455585,-13.2827632348027,2.91437630210077e-40,4.06126909392748e-38,"Mcoln2","68279"
"ENSMUSG00000011263",84.1780419020713,-1.12294409373653,0.204523334174363,-5.49054267215875,4.00700662589476e-08,7.62457726646159e-07,"Exoc3l2","74463"
"ENSMUSG00000012428",30.2998330996721,-1.38924881770534,0.355239443142367,-3.91073920569281,9.20140821410052e-05,0.00091205590205875,"Steap4","117167"
"ENSMUSG00000013523",77.6706352790492,-0.894604713519857,0.205309963855628,-4.35733705622263,1.31654443661464e-05,0.000165020834409528,"Bcas1","76960"
"ENSMUSG00000014030",97.2606156281795,-1.00264096473096,0.188724898960493,-5.31271162551184,1.08005883832008e-07,1.91301636484507e-06,"Pax5","18507"
"ENSMUSG00000014158",37.0734925433612,-0.766130359416125,0.291268588383551,-2.63032262994066,0.00853038701005063,0.0432036062572099,"Trpv4","63873"
"ENSMUSG00000014361",290.006327736582,-0.596444122172726,0.112420645098561,-5.30546788492286,1.12384353871199e-07,1.97579617306768e-06,"Mertk","17289"
"ENSMUSG00000014686",35.6237033566009,-1.09508366544153,0.35673816674562,-3.06971265629228,0.00214264806544501,0.0140122381422753,"Ceacam16","330483"
"ENSMUSG00000015053",1588.19715953143,-0.822000255140065,0.0556626054636517,-14.7675490267311,2.37182544201368e-49,4.16211442380031e-47,"Gata2","14461"
"ENSMUSG00000015314",72.5147066682098,-0.70888375524051,0.213755607885221,-3.31632822293558,0.000912086391576011,0.00668440111877361,"Slamf6","30925"
"ENSMUSG00000015316",40.9048044197759,-0.875102726174767,0.30082678163335,-2.90899208316282,0.00362596041937959,0.021454137654964,"Slamf1","27218"
"ENSMUSG00000015647",259.293809069903,-0.616807496351023,0.134534893147986,-4.58473992819501,4.54551859770496e-06,6.18869744710521e-05,"Lama5","16776"
"ENSMUSG00000015745",599.642028056108,-0.841786856619152,0.0871142509312482,-9.66302123499291,4.32904805631055e-22,2.99431090376633e-20,"Plekho1","67220"
"ENSMUSG00000015766",1057.89635364715,-0.92330219577248,0.0636036250815377,-14.5165027085931,9.52472581498137e-48,1.61171967540649e-45,"Eps8","13860"
"ENSMUSG00000015846",448.880774466556,-0.547007103468821,0.115173965482671,-4.74939888694832,2.04022173033992e-06,2.9248322415584e-05,"Rxra","20181"
"ENSMUSG00000015852",111.39190237838,-1.67591986356611,0.178781829444143,-9.37410624321709,6.97643062019586e-21,4.49718752088272e-19,"Fcrls","80891"
"ENSMUSG00000015980",124.600691906082,-0.759531319867298,0.157606309838971,-4.81916822139497,1.44157966985454e-06,2.13443889867838e-05,"Lrrc27","76612"
"ENSMUSG00000016024",1434.95496360345,-0.696389709061327,0.0584377830050828,-11.916771534621,9.67868563374108e-33,1.16095221601684e-30,"Lbp","16803"
"ENSMUSG00000016255",38.8081562236217,-2.39204563379536,0.400331247020999,-5.97516594469053,2.29856086160791e-09,5.23585642418187e-08,"Tubb1","545486"
"ENSMUSG00000017009",380.132673007067,-0.911765697070538,0.109482072984081,-8.32799080451383,8.22258993815006e-17,3.95519097735584e-15,"Sdc4","20971"
"ENSMUSG00000017652",25.4338783344555,-2.55951359846361,0.453558187167411,-5.64318685205185,1.66931007340114e-08,3.37999620845069e-07,"Cd40","21939"
"ENSMUSG00000017697",458.064480218827,-0.673374202934107,0.0911233841331632,-7.3896970502113,1.47163725310409e-13,5.30237057430205e-12,"Ada","11486"
"ENSMUSG00000017754",21.6485193766249,-2.19119076198764,0.431826057026225,-5.07424396081445,3.89039672947333e-07,6.30177767666483e-06,"Pltp","18830"
"ENSMUSG00000017897",16.2643033051352,-2.18694656637295,0.505458389656807,-4.3266599410049,1.51387404931091e-05,0.000186063171092999,"Eya2","14049"
"ENSMUSG00000017950",6.94134091858778,-1.97805838864686,0.76848529003794,-2.57397039902898,0.010053887441868,0.0492609293687388,"Hnf4a","15378"
