"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000000248",6.82123856192773,2.51563101852538,0.884158801538498,2.84522533073019,0.00443800160888953,0.0253340380999019,"Clec2g","70809"
"ENSMUSG00000000266",9.94229265425191,2.21879392875547,0.660712474626085,3.35818380001246,0.000784564259826547,0.00585396135914674,"Mid2","23947"
"ENSMUSG00000000440",204.175271417704,0.930674414116385,0.142355902808768,6.5376594560086,6.24890074782138e-11,1.75191075403418e-09,"Pparg","19016"
"ENSMUSG00000000794",272.729461569946,1.36878456631008,0.122740925777519,11.1518188219563,7.01574437332058e-29,6.99802038753535e-27,"Kcnn3","140493"
"ENSMUSG00000002108",46.6805935150096,0.692503850177774,0.291966555892437,2.37186018809942,0.017698786514379,0.0767568425676227,"Nr1h3","22259"
"ENSMUSG00000003863",20.7187691452207,1.66810126474171,0.45873045580629,3.63634296268767,0.000276536097889138,0.00239529804716405,"Ppfia3","76787"
"ENSMUSG00000004631",90.5180984005163,0.770002463663136,0.199883069758546,3.85226454943523,0.00011703048652256,0.0011281596035481,"Sgce","20392"
"ENSMUSG00000004846",3717.35155444697,0.592908875927072,0.0368845925609417,16.0747031419,3.83827638333403e-58,7.9068493496681e-56,"Plod3","26433"
"ENSMUSG00000005373",15.4854644740812,1.38349938508504,0.514692354950878,2.68801230827895,0.00718787471397197,0.0379244436467697,"Mlxipl","58805"
"ENSMUSG00000005547",7.64707984768288,2.74458580689546,0.895267439930445,3.06566025355361,0.00217189952765428,0.0141644321569525,"Cyp2a5","13087"
"ENSMUSG00000005640",4.70098564991602,2.73872384729142,1.10920242444097,2.46909291482277,0.0135456041843359,0.0621890238618056,"Insrr","23920"
"ENSMUSG00000006445",40.8786645315667,0.92867637936716,0.258486764297178,3.59274248293609,0.000327215922692245,0.00277095449815166,"Epha2","13836"
"ENSMUSG00000009376",486.239565243764,0.570371469167871,0.0937698244090609,6.08267609289408,1.18192971201063e-09,2.82115011360521e-08,"Met","17295"
"ENSMUSG00000009633",913.808330121946,1.02098791709984,0.100755549353662,10.1333169602011,3.93084219338345e-24,2.93296540350406e-22,"G0s2","14373"
"ENSMUSG00000015094",50.1064818972624,1.72850527721208,0.260672551656336,6.63094470909578,3.33545167654048e-11,9.63620124600537e-10,"Npdc1","18146"
"ENSMUSG00000015134",113.271344359299,0.505762858920279,0.172833380432761,2.92630311143535,0.0034301655065203,0.0204944819292474,"Aldh1a3","56847"
"ENSMUSG00000015850",519.150582638889,0.53832131861832,0.0874662498352345,6.15461757686409,7.52588732761922e-10,1.83329841430642e-08,"Adamtsl4","229595"
"ENSMUSG00000019852",190.1397756435,1.00878138111023,0.141396034273412,7.13443899819417,9.71827023208214e-13,3.28052881063974e-11,"Arfgef3","215821"
"ENSMUSG00000019889",47.093255198899,2.07871564366525,0.312766229607118,6.64622790726618,3.00699537963979e-11,8.74057920781185e-10,"Ptprk","19272"
"ENSMUSG00000019891",57.5005840148965,2.57569219389614,0.288810432837332,8.91827960850313,4.73587481698201e-19,2.62439472314161e-17,"Dcbld1","66686"
"ENSMUSG00000019945",8.13896108452119,1.66456155966017,0.691343850962343,2.40771876012655,0.0160525417361742,0.0710480548771542,"Cabcoco1","73287"
"ENSMUSG00000023191",127.193734943302,0.843266880924368,0.156389364461949,5.39209864958268,6.96395160382176e-08,1.2691986027593e-06,"P3h3","14789"
"ENSMUSG00000023349",1829.48930645935,0.800351313201007,0.135646372916348,5.90027802434924,3.62889544630501e-09,8.11023897386469e-08,"Clec4n","56620"
"ENSMUSG00000025151",425.035174910687,0.509861495769025,0.0921362286612947,5.53377865772372,3.13404431897416e-08,6.06085795236718e-07,"Maged1","94275"
