"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000013523",77.6706352790492,-0.585975198762429,0.217796740536402,-2.69046817376264,0.0071351840548383,0.0359254022341509,"Bcas1","76960"
"ENSMUSG00000015243",1223.27757283815,-0.586886877362813,0.0734926577619437,-7.9856531963213,1.39780150667413e-15,5.66995540735424e-14,"Abca1","11303"
"ENSMUSG00000028944",316.174049865497,-0.589629607534871,0.110701828978957,-5.3262860512174,1.00241226021211e-07,1.71162883957166e-06,"Prkag2","108099"
"ENSMUSG00000030137",954.767085978733,-0.591963835996715,0.0642451280154497,-9.21414361341702,3.13772903972999e-20,1.77489696497375e-18,"Tuba8","53857"
"ENSMUSG00000028717",874.580665350354,-0.592017020774578,0.0674133365535708,-8.78189763392181,1.60739352105783e-18,8.2176804863548e-17,"Tal1","21349"
"ENSMUSG00000037692",118.888827251789,-0.593136556995415,0.172036016528436,-3.44774640197145,0.000565284526525446,0.00429179113284697,"Ahdc1","230793"
"ENSMUSG00000036256",83.0400687907226,-0.593258114717534,0.209069669717332,-2.83760966150488,0.00454527302177196,0.0247143857193894,"Igfbp7","29817"
"ENSMUSG00000006219",235.959084381824,-0.593924689210682,0.133906856138326,-4.43535683189482,9.19199038855084e-06,0.000112173442029773,"Fblim1","74202"
"ENSMUSG00000057914",95.5594258204955,-0.593964248629167,0.185351528467942,-3.20452846296274,0.0013528391350285,0.00896359672288821,"Cacnb2","12296"
"ENSMUSG00000079293",1789.80112707979,-0.598562881829357,0.135607500728239,-4.41393638710953,1.01507797044233e-05,0.000122319019032382,"Clec7a","56644"
"ENSMUSG00000004110",64.8839447725976,-0.59969768510627,0.22945144651809,-2.61361475033886,0.00895899931405107,0.0432918087658844,"Cacna1e","12290"
"ENSMUSG00000015745",599.642028056108,-0.600720394965622,0.0887749642193974,-6.76677710036592,1.31682708692307e-11,3.5443570190079e-10,"Plekho1","67220"
"ENSMUSG00000040466",805.749350930705,-0.602187512725179,0.0722368753576424,-8.33628959923541,7.66580353562637e-17,3.27883873999068e-15,"Blvrb","233016"
"ENSMUSG00000030410",166.136865418424,-0.605397408777913,0.146023155338821,-4.14590006203601,3.38481445844181e-05,0.000359714599273521,"Dmwd","13401"
"ENSMUSG00000056737",3402.05964109446,-0.605755607729558,0.0513736039387859,-11.7911838237268,4.33405632836193e-32,4.3542147298892e-30,"Capg","12332"
"ENSMUSG00000015980",124.600691906082,-0.608530903737161,0.162098674146496,-3.75407699625725,0.000173981382178455,0.00152145662147961,"Lrrc27","76612"
"ENSMUSG00000028965",88.4857013124434,-0.608820121300067,0.203924801508659,-2.98551287923756,0.00283103216205001,0.0166169279076848,"Tnfrsf9","21942"
"ENSMUSG00000037613",325.178539565958,-0.610231093082422,0.109240447434702,-5.58612773393465,2.32188484749781e-08,4.38014958130592e-07,"Tnfrsf23","79201"
"ENSMUSG00000027111",1729.06649495531,-0.613780457075194,0.0515124972739516,-11.9151757254364,9.86579603692575e-33,1.02699370794022e-30,"Itga6","16403"
"ENSMUSG00000045216",337.16102883702,-0.616578514132304,0.117819198332072,-5.23326013808451,1.66546086728442e-07,2.74087274158808e-06,"Hs6st1","50785"
"ENSMUSG00000043832",313.780458866626,-0.618534054891567,0.112636980752017,-5.49139412972493,3.98773338469606e-08,7.22306424397777e-07,"Clec4a3","73149"
"ENSMUSG00000038172",460.231083602325,-0.620227227621033,0.088068148121015,-7.04258282766177,1.88708586978776e-12,5.56464911773592e-11,"Ttc39b","69863"
"ENSMUSG00000041439",842.3836729382,-0.623054334619972,0.0714208633861435,-8.72370208200049,2.69250920693054e-18,1.33697008895861e-16,"Mfsd6","98682"
"ENSMUSG00000056091",865.805767019187,-0.624824541462242,0.0839096716642156,-7.44639478465158,9.59254723579281e-14,3.26297669752952e-12,"St3gal5","20454"
"ENSMUSG00000040435",452.53258311131,-0.624840744317573,0.108023119477172,-5.78432420153924,7.28044141940587e-09,1.47659656956964e-07,"Ppp1r15a","17872"
"ENSMUSG00000040855",69.736429822177,-0.628108459896408,0.227364544732003,-2.76256115761921,0.00573498165569845,0.029976889991009,"Reps2","194590"
"ENSMUSG00000043263",196.441307728879,-0.628858412197271,0.135515302653054,-4.64049741900567,3.47571517456254e-06,4.53628083205745e-05,"Ifi209","236312"
"ENSMUSG00000025330",5714.69404138005,-0.629853112828749,0.0417262465762088,-15.0948902551871,1.74978791364457e-51,2.69967278105162e-49,"Padi4","18602"
"ENSMUSG00000026389",419.259659536231,-0.63065158354081,0.0931735878046602,-6.76856605396563,1.30065005871557e-11,3.51175515853204e-10,"Steap3","68428"
"ENSMUSG00000041954",79.7977977027455,-0.631349456241735,0.225466033258943,-2.80019764891434,0.00510713256570277,0.0272717091271149,"Tnfrsf18","21936"
"ENSMUSG00000039145",289.883261622684,-0.633138997948612,0.115641933315253,-5.47499492439824,4.37524151412358e-08,7.8427565730348e-07,"Camk1d","227541"
"ENSMUSG00000030745",469.889526348849,-0.637695287754979,0.0918372241578803,-6.94375612506206,3.81809404942201e-12,1.09961108623354e-10,"Il21r","60504"
"ENSMUSG00000038587",97.2249155382464,-0.638426323355508,0.19314735752743,-3.3053847152159,0.000948461137247549,0.00669313093769621,"Akap12","83397"
"ENSMUSG00000028602",65.6301836913179,-0.6393111522163,0.223163082483009,-2.86477111313865,0.00417310757897468,0.0229361637928379,"Tnfrsf8","21941"
"ENSMUSG00000037370",167.306831290207,-0.644174476611445,0.158725012301585,-4.05843078712436,4.94035709047795e-05,0.00050395141985513,"Enpp1","18605"
"ENSMUSG00000037211",66.421316722376,-0.647659555553121,0.232379692129166,-2.78707467773529,0.00531862208935193,0.028157411061275,"Spry1","24063"
"ENSMUSG00000028125",117.417841230883,-0.648005648374821,0.179112436491853,-3.61787076914838,0.000297036637040923,0.00241656925050242,"Abca4","11304"
"ENSMUSG00000026489",93.8853264089982,-0.648401832559337,0.19253194291297,-3.36776237100788,0.000757808821178264,0.00550670161058049,"Coq8a","67426"
"ENSMUSG00000073002",427.812366456711,-0.649831723739177,0.0995564272422913,-6.52727043084497,6.69790525704971e-11,1.70707673807993e-09,"Vamp5","53620"
"ENSMUSG00000027360",2453.58273325004,-0.655827609574959,0.0710728873389925,-9.22753576123753,2.76929392861967e-20,1.58454963862741e-18,"Hdc","15186"
"ENSMUSG00000030109",222.165720189322,-0.657172508691029,0.125918286696822,-5.21903947337949,1.79853432266057e-07,2.93669948469832e-06,"Slc6a12","14411"
"ENSMUSG00000042249",567.793427843281,-0.657471522883636,0.0875691544971442,-7.50802638964703,6.00254070340494e-14,2.12548982284503e-12,"Grk3","320129"
"ENSMUSG00000062590",84.5137877250383,-0.661799646833171,0.222953319305367,-2.96833278327083,0.00299419967220336,0.0174325371750923,"Armc9","78795"
"ENSMUSG00000047945",1924.07673044072,-0.662161557038838,0.0797568546685552,-8.30225263760182,1.02155687208998e-16,4.34790708121056e-15,"Marcksl1","17357"
"ENSMUSG00000005474",1712.24307791992,-0.666210388443571,0.0505273697817184,-13.1851388924783,1.06857012277878e-39,1.37797699415055e-37,"Myl10","59310"
"ENSMUSG00000033174",716.8548308218,-0.668576557838291,0.0725612459541932,-9.21396193031681,3.14304670880769e-20,1.77489696497375e-18,"Mgll","23945"
"ENSMUSG00000027692",200.313140959165,-0.668592225491351,0.132924234037856,-5.02987457727943,4.90800782634406e-07,7.40055630359733e-06,"Tnik","665113"
"ENSMUSG00000028278",69.0407074481172,-0.671488502659775,0.230722764068836,-2.91036953102485,0.00361001652866387,0.0204796735440945,"Rragd","52187"
"ENSMUSG00000039899",1284.92021875996,-0.672911298028973,0.0578198075038097,-11.638075723179,2.63902524566989e-31,2.56193012613346e-29,"Fgl2","14190"
"ENSMUSG00000029771",784.194828597674,-0.675127532157078,0.0750622715745216,-8.99423262839593,2.3788820059521e-19,1.29267550512114e-17,"Irf5","27056"
"ENSMUSG00000028776",434.655816523285,-0.679830215130468,0.101705002559034,-6.68433408411614,2.31977052987975e-11,6.16702073174186e-10,"Tinagl1","94242"
"ENSMUSG00000026271",250.202339404617,-0.682285580288708,0.117251718113551,-5.81898151486325,5.92072809047981e-09,1.21220594079966e-07,"Gpr35","64095"
"ENSMUSG00000044813",86.4166100595972,-0.682332447777589,0.202248050191015,-3.37374054846588,0.000741542245944614,0.00539757793172827,"Shb","230126"
"ENSMUSG00000027784",93.8855517920837,-0.686571809170302,0.209354402479333,-3.27947156133045,0.00104001691727124,0.00721746679937633,"Ppm1l","242083"
"ENSMUSG00000058486",691.220596064276,-0.686747800575336,0.0789818653728826,-8.69500609200757,3.46811178339916e-18,1.692908802744e-16,"Wdr91","101240"
"ENSMUSG00000047867",99.1260306494721,-0.6871471556285,0.212433026356364,-3.23465313945952,0.00121790588455194,0.00821757350039265,"Gimap6","231931"
"ENSMUSG00000026778",204.34862346822,-0.687430931263924,0.16360039580978,-4.2018903918986,2.64695295105221e-05,0.000289489537937862,"Prkcq","18761"
"ENSMUSG00000015314",72.5147066682098,-0.68897113333357,0.215635043756388,-3.19507961846837,0.0013979227016273,0.0091988211287585,"Slamf6","30925"
"ENSMUSG00000055653",69.8839383323428,-0.697446595405794,0.221373481652886,-3.15054264945515,0.00162967461060263,0.0105392130506038,"Gpc3","14734"
"ENSMUSG00000052688",400.014378739204,-0.70113068308406,0.103744441518249,-6.75824818007943,1.3967014081907e-11,3.74767085924462e-10,"Rab7b","226421"
"ENSMUSG00000038456",322.822097340839,-0.707678600482511,0.118612646713499,-5.96629971668924,2.42694311367588e-09,5.28181070583365e-08,"Dennd2a","209773"
"ENSMUSG00000069662",827.412159802981,-0.709378304663837,0.0812545589820894,-8.73032004050631,2.53952978957677e-18,1.26829695849383e-16,"Marcks","17118"
"ENSMUSG00000064141",51.0327686345993,-0.710679641612624,0.264372677157365,-2.6881735633732,0.00718440429826976,0.0361311135838479,"Zfp69","381549"
"ENSMUSG00000026815",312.191616591056,-0.714466022088568,0.123559692774179,-5.78235511959667,7.36620018698212e-09,1.49049109169849e-07,"Gfi1b","14582"
"ENSMUSG00000039304",56.1795054878113,-0.714523418465564,0.268030982808524,-2.66582396922376,0.00767998946626388,0.0382670755412456,"Tnfsf10","22035"
"ENSMUSG00000016024",1434.95496360345,-0.71565327020458,0.058450760345628,-12.2436947949491,1.81574634973143e-34,1.96100605770995e-32,"Lbp","16803"
"ENSMUSG00000025498",131.873353371746,-0.716639394623063,0.176433844975923,-4.06180228470823,4.86953114917852e-05,0.000498492288257138,"Irf7","54123"
"ENSMUSG00000035246",161.97301265097,-0.717309657205784,0.164297504620891,-4.36591936597542,1.26589175466741e-05,0.000148604684243566,"Pcyt1b","236899"
"ENSMUSG00000030717",161.01802027832,-0.721629755053817,0.149628911243609,-4.82279627016024,1.41559539685809e-06,1.96724967605934e-05,"Nupr1","56312"
"ENSMUSG00000037820",4305.9412260766,-0.722426997312329,0.0961151247412352,-7.51626759323545,5.63621347496029e-14,2.00398701331921e-12,"Tgm2","21817"
"ENSMUSG00000036622",1779.1748802126,-0.722716970574042,0.0632478791436595,-11.4267384196786,3.07440864772545e-30,2.88727073003782e-28,"Atp13a2","74772"
"ENSMUSG00000028885",73.9610905112965,-0.722794864613148,0.254647480999317,-2.83841356598806,0.00453383967389508,0.0246818158891515,"Smpdl3b","100340"
