"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000005547",7.64707984768288,6.55877508221055,1.32344225118272,4.9558453165215,7.20164944759996e-07,1.06181316087481e-05,"Cyp2a5","13087"
"ENSMUSG00000028373",7.21701678068915,6.08549211371117,1.31632172072298,4.62310392505622,3.78040201900808e-06,4.91907732593823e-05,"Astn2","56079"
"ENSMUSG00000029669",6.08170551924143,5.76713217053002,1.32254486662145,4.36063253208389,1.29687003035075e-05,0.000151213995441706,"Tspan12","269831"
"ENSMUSG00000000248",6.82123856192773,4.23482642625709,1.22244642325897,3.46422251779944,0.000531766438988596,0.00405871204316384,"Clec2g","70809"
"ENSMUSG00000034755",4.4398475525385,3.97105914473784,1.42856788995274,2.77974828684495,0.00544010484166214,0.0286950585054707,"Pcdh11x","245578"
"ENSMUSG00000048489",19.5212003205841,3.4469509608489,0.624344368811704,5.52091302979055,3.37242679111673e-08,6.16020454022168e-07,"Depp1","213393"
"ENSMUSG00000050248",9.01883001350893,3.36149667109603,0.900633037858616,3.73237104324806,0.000189685812627276,0.00164546729026071,"Evc2","68525"
"ENSMUSG00000096826",4.4481440251993,3.35300303580042,1.29125104495576,2.5967088653278,0.0094121662650106,0.0449536299224387,"Ccl27b","100040048"
"ENSMUSG00000019891",57.5005840148965,2.62161770737652,0.303388044609728,8.64113716395422,5.56562502756464e-18,2.64214287022849e-16,"Dcbld1","66686"
"ENSMUSG00000042515",5.39721684694667,2.5974669263373,0.944498813757326,2.75010078202669,0.00595769378877081,0.030878508899208,"Mum1l1","245631"
"ENSMUSG00000032826",16.3015381053499,2.49281749908192,0.544900467690995,4.57481255181371,4.76646546499535e-06,6.11990867477588e-05,"Ank2","109676"
"ENSMUSG00000027270",6.27969448839299,2.40549416137839,0.824017505699735,2.91922701245977,0.00350900583292028,0.0199748135946087,"Lamp5","76161"
"ENSMUSG00000025665",12.6994604885806,2.32388774731037,0.572804043875181,4.05703795592751,4.96990076779463e-05,0.000506367248039452,"Rps6ka6","67071"
"ENSMUSG00000075012",12.6716960771042,2.31555302781334,0.628181146344071,3.68612308931833,0.000227696254230829,0.00192118714507262,"Fjx1","14221"
"ENSMUSG00000027803",16.8513008278654,2.27516577499871,0.542426593067764,4.19442152002764,2.7356884483269e-05,0.000297312555893641,"Wwtr1","97064"
"ENSMUSG00000056367",32.5960413820759,2.24387774764821,0.373379876111121,6.00963761362546,1.85938476753171e-09,4.07743258666851e-08,"Actr3b","242894"
"ENSMUSG00000029122",7.04497295989836,2.1330669930777,0.802806481796407,2.65701266923584,0.00788364802445405,0.0390566048917907,"Evc","59056"
"ENSMUSG00000028179",82.3729130889009,2.08593984091306,0.237349055027593,8.78849018661802,1.51583275302366e-18,7.79571130126456e-17,"Cth","107869"
"ENSMUSG00000028541",15.7203418139808,2.07793119521087,0.524886982731547,3.95881639966984,7.53221096824599e-05,0.000730396215102642,"B4galt2","53418"
"ENSMUSG00000044349",83.4681160105048,2.07047411592198,0.237972876953349,8.70046260073523,3.30533974148425e-18,1.63157007692803e-16,"Snhg11","319317"
"ENSMUSG00000015094",50.1064818972624,2.0694019014685,0.299243261417253,6.9154502984213,4.66379536820359e-12,1.32549973622628e-10,"Npdc1","18146"
"ENSMUSG00000027799",25.0493481745017,1.95039018380785,0.445720668479232,4.37581274941198,1.20980839816299e-05,0.000142603484619047,"Nbea","26422"
"ENSMUSG00000034457",41.4522330100116,1.87514990042967,0.428526269344842,4.37581085354817,1.20981891465002e-05,0.000142603484619047,"Eda2r","245527"
"ENSMUSG00000019889",47.093255198899,1.76275724471782,0.296935648804228,5.93649584284177,2.91178295508402e-09,6.24263144712802e-08,"Ptprk","19272"
"ENSMUSG00000028402",19.5700721794229,1.73011904622331,0.474430441315638,3.64672857295062,0.000265600220658236,0.00219386797943323,"Mpdz","17475"
"ENSMUSG00000073877",10.6172920464166,1.70777785421241,0.6448793465444,2.64821297714614,0.00809185293431076,0.0399050281692037,"Gm13306","100039863"
"ENSMUSG00000092035",101.230433048433,1.70518566255301,0.229073617950207,7.44383258889143,9.78054320888275e-14,3.31387816959792e-12,"Peg10","170676"
"ENSMUSG00000031434",37.3562036457321,1.68804815081957,0.330160677182729,5.11280799768082,3.17404872468237e-07,4.96660135019949e-06,"Morc4","75746"
"ENSMUSG00000072623",23.7593946400623,1.68029024249922,0.443395460856545,3.78959730271768,0.000150891698444053,0.00133850541535587,"Zfp9","22750"
"ENSMUSG00000064247",18.5516330549903,1.61345923389205,0.421484695089759,3.8280375365669,0.000129169060512702,0.00117106052762827,"Plcxd1","403178"
"ENSMUSG00000037568",17.4313719554558,1.60260684866045,0.48763247073703,3.28650560582685,0.00101438754817386,0.00706229525884141,"Vash2","226841"
"ENSMUSG00000037709",28.9029242302168,1.59138934346434,0.380223348414625,4.18540668293986,2.84655994761109e-05,0.000308973341047234,"Fam13a","58909"
"ENSMUSG00000036885",18.3498363895072,1.58045083727603,0.460863627668629,3.42932429983909,0.000605086059826894,0.0045539578021815,"Arhgef26","622434"
"ENSMUSG00000098470",20.7051542592686,1.54763295946898,0.442913005701787,3.49421430291211,0.000475459193495189,0.00368097440125308,"C1rb","667277"
"ENSMUSG00000000794",272.729461569946,1.47681616762278,0.1196467235871,12.3431392297816,5.30465199519296e-35,6.03055174190358e-33,"Kcnn3","140493"
"ENSMUSG00000031297",42.3866213558599,1.47515500770387,0.329741586473378,4.47366989247796,7.68884140320923e-06,9.5310745658146e-05,"Slc7a3","11989"
"ENSMUSG00000072720",63.5157016952372,1.46088469678756,0.264140769549569,5.53070508304627,3.18946164354206e-08,5.87568200430777e-07,"Myo18b","74376"
"ENSMUSG00000040714",25.6561679295785,1.45673144873933,0.377337660267402,3.86055144272377,0.00011313141892498,0.00104317551708839,"Klc3","232943"
"ENSMUSG00000033849",108.664809455404,1.44739513761778,0.184837430839588,7.83063869175888,4.85397745758353e-15,1.89766358522723e-13,"B3galt2","26878"
"ENSMUSG00000032854",58.0661984292373,1.44503832538768,0.252033128334675,5.73352533032407,9.83643680953152e-09,1.9672873619063e-07,"Ugt8a","22239"
"ENSMUSG00000052852",37.295936557552,1.43012933083986,0.361239555692051,3.95894997739121,7.52800003504927e-05,0.000730396215102642,"Reep1","52250"
"ENSMUSG00000026193",14686.5020940708,1.39956270856501,0.113272775223316,12.3556848131052,4.53874532360577e-35,5.22863461279384e-33,"Fn1","14268"
"ENSMUSG00000030584",15.8067514246964,1.38543853012303,0.477106278004102,2.90383630229891,0.00368620839836013,0.020768813205019,"Dpf1","29861"
"ENSMUSG00000037060",19.3151266285981,1.34338361726762,0.428824249331332,3.13271373846598,0.00173198271552518,0.0110764845759715,"Cavin3","109042"
"ENSMUSG00000048040",29.4886005061036,1.33752183255293,0.349758877257583,3.82412547478503,0.000131237071613329,0.00118483625782567,"Arxes2","76976"
"ENSMUSG00000044254",116.579192803552,1.33249682408761,0.194734337048785,6.84263928119563,7.77472511571821e-12,2.14612220446662e-10,"Pcsk9","100102"
"ENSMUSG00000054474",17.4350191522341,1.31407057968984,0.503777657101511,2.60843362377433,0.00909576502141233,0.0438056910730226,"Thnsl2","232078"
"ENSMUSG00000019852",190.1397756435,1.31014228194484,0.149308980685061,8.77470515124827,1.71352227289866e-18,8.70872496343788e-17,"Arfgef3","215821"
"ENSMUSG00000053475",70.1134011114156,1.2609502684934,0.259667302438728,4.85602252055181,1.19767086385611e-06,1.69082945485568e-05,"Tnfaip6","21930"
"ENSMUSG00000029851",16.086566547696,1.25921068903709,0.49271924340109,2.55563529515336,0.0105994146624678,0.0494486731553575,"Tcaf2","232748"
"ENSMUSG00000047963",18.1295198719618,1.23645236468585,0.483205954853945,2.55885167031848,0.0105018540160242,0.0490199992968391,"Stbd1","52331"
"ENSMUSG00000046593",150.374616869942,1.23529089507755,0.168575893625031,7.32780273925314,2.33956735875663e-13,7.65676590138532e-12,"Tmem215","320500"
"ENSMUSG00000044674",208.543040399023,1.21546633659751,0.13562287608413,8.96210412057269,3.18540859650866e-19,1.69888458480462e-17,"Fzd1","14362"
"ENSMUSG00000029673",42.6002292217021,1.19021880438656,0.311345309364115,3.82282555281606,0.000131931120153511,0.00118959559826953,"Auts2","319974"
"ENSMUSG00000050199",74.4855231166251,1.14299166124662,0.24998628077575,4.57221755409827,4.82589494859677e-06,6.18631043855729e-05,"Lgr4","107515"
"ENSMUSG00000037032",33.9121339206807,1.11735599606818,0.346287128358307,3.2266749311919,0.00125237651805899,0.00842720647665864,"Apbb1","11785"
