,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENSEMBL,symbol
ENSMUSG00000000001,4988.5473704766,-0.0301423252749209,0.0341282736910769,-0.883206855048218,0.377124518507856,0.64187936496159,ENSMUSG00000000001,Gnai3
ENSMUSG00000000003,0,NA,NA,NA,NA,NA,ENSMUSG00000000003,Pbsn
ENSMUSG00000000031,0.344288212931978,0.904590086007621,3.55379993148583,0.254541646532537,0.799077134027364,NA,ENSMUSG00000000031,H19
ENSMUSG00000000037,43.2658587243923,-0.0115010112960047,0.304621639703231,-0.0377550698867266,0.969882967845602,0.987890542490139,ENSMUSG00000000037,Scml2
ENSMUSG00000000058,128.356719417074,0.0217654238884778,0.163267965993978,0.133311049451553,0.893947389400384,0.957504257437817,ENSMUSG00000000058,Cav2
ENSMUSG00000000085,408.680470759755,0.12842181415795,0.091605649030154,1.40189841475471,0.160945583940008,0.399691783999816,ENSMUSG00000000085,Scmh1
ENSMUSG00000000131,2329.76950446748,0.03046726416626,0.0504346395459415,0.604094020311318,0.545781134887892,0.771959053723407,ENSMUSG00000000131,Xpo6
ENSMUSG00000000134,1113.7302436184,0.108028493036747,0.0634292068848971,1.70313485446511,0.0885428345757324,0.281226505449703,ENSMUSG00000000134,Tfe3
ENSMUSG00000000148,480.035284613657,-0.082052281174222,0.0895938735540838,-0.915824686658857,0.359758853262605,0.62553339471629,ENSMUSG00000000148,Brat1
ENSMUSG00000000149,1216.74567785113,0.0516544338326257,0.0616562925442838,0.837780406525831,0.402154044963093,0.663380618189428,ENSMUSG00000000149,Gna12
ENSMUSG00000000154,27.7241707655579,0.614793541571231,0.365792637590875,1.68071600790078,0.0928180897462322,0.289885416747264,ENSMUSG00000000154,Slc22a18
ENSMUSG00000000182,7.83772036079895,0.317388842621691,0.705715369083118,0.449740584556137,0.652897504016121,NA,ENSMUSG00000000182,Fgf23
ENSMUSG00000000183,0,NA,NA,NA,NA,NA,ENSMUSG00000000183,Fgf6
ENSMUSG00000000184,2018.82409876187,0.0293330132766215,0.0543701055059304,0.539506278379798,0.58953756601501,0.803752234600367,ENSMUSG00000000184,Ccnd2
ENSMUSG00000000194,1013.69953898394,0.132679196092992,0.0662396581120014,2.00301752567398,0.0451754073837191,0.181505723612952,ENSMUSG00000000194,Gpr107
ENSMUSG00000000214,0,NA,NA,NA,NA,NA,ENSMUSG00000000214,Th
ENSMUSG00000000215,0,NA,NA,NA,NA,NA,ENSMUSG00000000215,Ins2
ENSMUSG00000000216,0,NA,NA,NA,NA,NA,ENSMUSG00000000216,Scnn1g
ENSMUSG00000000223,18.0446097735835,0.0282541823844142,0.413000947658641,0.068411906908667,0.945457743695105,NA,ENSMUSG00000000223,Drp2
ENSMUSG00000000244,1434.41388715818,-0.0798722568122585,0.0524997994176113,-1.52138213285183,0.128163969932468,0.348633100804504,ENSMUSG00000000244,Tspan32
ENSMUSG00000000247,0.907673923874209,1.7020699447227,2.25249174316127,0.755638705398281,0.449865843050251,NA,ENSMUSG00000000247,Lhx2
ENSMUSG00000000248,6.82123856192773,-0.148029284481161,0.705865947341075,-0.209713027011393,0.833891657536883,NA,ENSMUSG00000000248,Clec2g
ENSMUSG00000000266,9.94229265425191,1.12189704455431,0.592843555596557,1.89239983122595,0.0584377285088127,NA,ENSMUSG00000000266,Mid2
ENSMUSG00000000295,282.740585067615,0.0679503398562625,0.113332396276768,0.599566779566908,0.548794992431674,0.773633235906315,ENSMUSG00000000295,Hddc2
ENSMUSG00000000296,2.20501149777973,0.768584549571843,1.268233568959,0.606027602788277,0.544496423947742,NA,ENSMUSG00000000296,Tpd52l1
ENSMUSG00000000305,0.0796451972477837,0,4.40735632396697,0,1,NA,ENSMUSG00000000305,Cdh4
ENSMUSG00000000308,0.911195185885488,3.71307889552721,4.27978169960787,0.867586049042504,0.385620986453254,NA,ENSMUSG00000000308,Ckmt1
ENSMUSG00000000339,450.201319848443,-0.212760662632587,0.095468094366507,-2.22860489721087,0.0258402049298878,0.1218936042144,ENSMUSG00000000339,Rtca
ENSMUSG00000000340,508.596082689549,0.0141047548105204,0.0816344312059151,0.172779482899103,0.862824764758562,0.945901921673423,ENSMUSG00000000340,Dbt
ENSMUSG00000000355,744.320645298043,0.027660795497285,0.0761311853450761,0.363330682057665,0.71635787614357,0.875359487308064,ENSMUSG00000000355,Mcts1
ENSMUSG00000000359,0.646130413213671,0.828266692543147,2.5711893879246,0.322133677290766,0.747351426183255,NA,ENSMUSG00000000359,Rem1
ENSMUSG00000000392,2.76947051531557,-1.42457590261133,1.49622067717718,-0.952116171325059,0.341038068550358,NA,ENSMUSG00000000392,Fap
ENSMUSG00000000394,0,NA,NA,NA,NA,NA,ENSMUSG00000000394,Gcg
ENSMUSG00000000399,1251.73957685165,0.0315727082317741,0.0616172428182346,0.512400535754428,0.6083707161076,0.815144756792388,ENSMUSG00000000399,Ndufa9
ENSMUSG00000000402,1.01416337640565,1.79122918223328,2.21200319513905,0.809776941629001,0.418068387400336,NA,ENSMUSG00000000402,Egfl6
ENSMUSG00000000409,63.9101732621168,0.40171937370208,0.218133089829376,1.84162510152084,0.0655300067322149,0.231447042490471,ENSMUSG00000000409,Lck
ENSMUSG00000000411,0.919850614668391,-1.96453523746505,2.07757913758048,-0.945588643016947,0.344358439084661,NA,ENSMUSG00000000411,Tssk3
ENSMUSG00000000416,1.84225829614028,0.0724682558679868,1.18387168151756,0.0612129312655682,0.95118963138541,NA,ENSMUSG00000000416,Cttnbp2
ENSMUSG00000000439,363.446344212865,-0.0642799634585648,0.100748083588446,-0.638026661838522,0.52345632455499,0.758056018550956,ENSMUSG00000000439,Mkrn2
ENSMUSG00000000440,204.175271417704,0.115135611750892,0.135336553339338,0.85073551017813,0.394916292654867,0.658916208922026,ENSMUSG00000000440,Pparg
ENSMUSG00000000441,1223.55716285685,0.0654923146578775,0.0529387033401968,1.23713484701369,0.216037024661914,0.47263446608231,ENSMUSG00000000441,Raf1
ENSMUSG00000000486,989.154379877309,0.0600493468320377,0.0671833026783253,0.893813558400887,0.371421653624698,0.636383053559325,ENSMUSG00000000486,Sept1
ENSMUSG00000000544,0.169713763516104,0,4.40735632395645,0,1,NA,ENSMUSG00000000544,Gpa33
ENSMUSG00000000560,0.0960699364652409,0.904567524285509,4.40735632396697,0.205240388521917,0.837384315562191,NA,ENSMUSG00000000560,Gabra2
ENSMUSG00000000561,384.354152675507,-0.205413649833568,0.10956288064807,-1.87484710714556,0.0608137604057757,0.22000175411262,ENSMUSG00000000561,Wdr77
ENSMUSG00000000562,139.091888526317,-0.280503807550659,0.181149642006668,-1.54846459779553,0.121510478896034,0.338800997638837,ENSMUSG00000000562,Adora3
ENSMUSG00000000563,4287.14068135295,-0.0752479673576247,0.042982468732382,-1.75066648279638,0.0800033760802129,0.263228028824665,ENSMUSG00000000563,Atp5f1
ENSMUSG00000000568,3452.52004605139,-0.317522960581911,0.041584539580178,-7.63560120630178,2.24769059530181e-14,2.83675516829695e-12,ENSMUSG00000000568,Hnrnpd
ENSMUSG00000000600,1052.56352031035,0.0767172228104821,0.0585364739123199,1.31058838503656,0.189996865447158,0.43778471683639,ENSMUSG00000000600,Krit1
ENSMUSG00000000605,1056.59008408231,-0.143991829517748,0.0634593566001436,-2.26904017361912,0.023265882951458,0.113099920830162,ENSMUSG00000000605,Clcn4
ENSMUSG00000000627,32.4817625275196,-0.283754073886893,0.423407251402082,-0.670168196097876,0.502750575546443,0.743883260478232,ENSMUSG00000000627,Sema4f
ENSMUSG00000000628,3979.1175454235,0.121836543310225,0.0459545665211002,2.65123909403613,0.00801970472722926,0.0526710927546868,ENSMUSG00000000628,Hk2
ENSMUSG00000000682,3264.77974926233,-0.00681636709023031,0.0618893432236341,-0.110137977480222,0.912299949679293,0.964403758267608,ENSMUSG00000000682,Cd52
ENSMUSG00000000693,41.0779831417938,0.142196474699563,0.300715420397565,0.472860601932451,0.636312634722279,0.832120276374843,ENSMUSG00000000693,Loxl3
ENSMUSG00000000766,1.06013667716026,-1.01897814882052,2.19899586454565,-0.46338338568502,0.64308958543145,NA,ENSMUSG00000000766,Oprm1
ENSMUSG00000000787,11608.7681818166,-0.111341491227603,0.0379691419470355,-2.9324205267245,0.00336330990563917,0.0271050360949643,ENSMUSG00000000787,Ddx3x
ENSMUSG00000000794,272.729461569946,-0.314000605623083,0.107983264128581,-2.90786362272942,0.00363906998665007,0.0289438039722976,ENSMUSG00000000794,Kcnn3
ENSMUSG00000000811,121.669707351026,-0.307200434964791,0.17821218020186,-1.72379034147288,0.0847456988611351,0.272802193552673,ENSMUSG00000000811,Txnrd3
ENSMUSG00000000817,0.499928065473991,0.904596834815086,2.95681671001582,0.305936053374863,0.759653334585192,NA,ENSMUSG00000000817,Fasl
ENSMUSG00000000823,567.277505008319,0.127507022416972,0.0786880958897486,1.62041057132231,0.105144110526521,0.310804884047547,ENSMUSG00000000823,Zfp512b
ENSMUSG00000000826,4522.41212290251,0.203368805687495,0.0356595743188327,5.70306319052416,1.17673333641907e-08,4.6852198138733e-07,ENSMUSG00000000826,Dnajc5
ENSMUSG00000000827,913.238334402814,-0.0403308493888752,0.0659078183739017,-0.611928150315555,0.540585295822599,0.769496642173358,ENSMUSG00000000827,Tpd52l2
ENSMUSG00000000838,1765.32784820498,-0.176984841200881,0.0484503836420285,-3.6529089740242,0.000259286165257144,0.00345491067610564,ENSMUSG00000000838,Fmr1
ENSMUSG00000000876,669.72087188852,0.252420414543524,0.0770465258470595,3.27620761310625,0.00105211188705993,0.010979058365903,ENSMUSG00000000876,Pxmp4
