,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENSEMBL,symbol
ENSMUSG00000000001,4988.5473704766,0.123870611846142,0.0343170886688346,3.6095897598282,0.00030668164073681,0.00262048262184131,ENSMUSG00000000001,Gnai3
ENSMUSG00000000003,0,NA,NA,NA,NA,NA,ENSMUSG00000000003,Pbsn
ENSMUSG00000000031,0.344288212931978,0.924547406334276,3.55379993148583,0.260157415768683,0.79474235079374,NA,ENSMUSG00000000031,H19
ENSMUSG00000000037,43.2658587243923,0.61085699906927,0.315374736714674,1.93692432511462,0.0527545944786334,0.180731213767003,ENSMUSG00000000037,Scml2
ENSMUSG00000000058,128.356719417074,0.251616793104672,0.165594422065117,1.51947625992938,0.128642659252059,0.335787057151408,ENSMUSG00000000058,Cav2
ENSMUSG00000000085,408.680470759755,0.231874017853,0.0921374009327026,2.5166112295957,0.0118489492954172,0.0559724045480424,ENSMUSG00000000085,Scmh1
ENSMUSG00000000131,2329.76950446748,-0.203435652887024,0.0499183804061843,-4.07536565152304,4.59421003145975e-05,0.000497539820092715,ENSMUSG00000000131,Xpo6
ENSMUSG00000000134,1113.7302436184,-0.0879104451149998,0.0626750533108162,-1.40263853752205,0.160724653852783,0.388131197734192,ENSMUSG00000000134,Tfe3
ENSMUSG00000000148,480.035284613657,-0.067473934938458,0.0895617406024401,-0.753379004076878,0.451222195935684,0.708967257285117,ENSMUSG00000000148,Brat1
ENSMUSG00000000149,1216.74567785113,-0.0762563379040499,0.0611813060246116,-1.24639931474124,0.212617832708153,0.464054652220497,ENSMUSG00000000149,Gna12
ENSMUSG00000000154,27.7241707655579,0.149752636342875,0.352305437491472,0.425064788693476,0.670789445486571,0.856196226485823,ENSMUSG00000000154,Slc22a18
ENSMUSG00000000182,7.83772036079895,1.26993868648126,0.751226689679643,1.6904866452799,0.0909348910644967,0.266697315916797,ENSMUSG00000000182,Fgf23
ENSMUSG00000000183,0,NA,NA,NA,NA,NA,ENSMUSG00000000183,Fgf6
ENSMUSG00000000184,2018.82409876187,-0.190996700633682,0.0538442213447688,-3.54720889008154,0.000389335759384032,0.00320533940566732,ENSMUSG00000000184,Ccnd2
ENSMUSG00000000194,1013.69953898394,-0.0766937750763152,0.0654095337260148,-1.17251676793122,0.240989644040694,0.502409014423057,ENSMUSG00000000194,Gpr107
ENSMUSG00000000214,0,NA,NA,NA,NA,NA,ENSMUSG00000000214,Th
ENSMUSG00000000215,0,NA,NA,NA,NA,NA,ENSMUSG00000000215,Ins2
ENSMUSG00000000216,0,NA,NA,NA,NA,NA,ENSMUSG00000000216,Scnn1g
ENSMUSG00000000223,18.0446097735835,0.509947495161224,0.427755510154687,1.19214710986847,0.233203567681529,0.491949467353109,ENSMUSG00000000223,Drp2
ENSMUSG00000000244,1434.41388715818,-0.39495981166002,0.0514132889766697,-7.68205690632329,1.56554259945707e-14,6.10497188166881e-13,ENSMUSG00000000244,Tspan32
ENSMUSG00000000247,0.907673923874209,-0.915740942365251,1.99947529060416,-0.457990627175268,0.646959175092667,NA,ENSMUSG00000000247,Lhx2
ENSMUSG00000000248,6.82123856192773,2.51563101852538,0.884158801538498,2.84522533073019,0.00443800160888953,0.0253340380999019,ENSMUSG00000000248,Clec2g
ENSMUSG00000000266,9.94229265425191,2.21879392875547,0.660712474626085,3.35818380001246,0.000784564259826547,0.00585396135914674,ENSMUSG00000000266,Mid2
ENSMUSG00000000295,282.740585067615,0.227232338483495,0.114379616796495,1.98665063625619,0.0469611256983739,0.164840912122177,ENSMUSG00000000295,Hddc2
ENSMUSG00000000296,2.20501149777973,0.124590425597203,1.20597752444655,0.103310735956195,0.917716355153313,0.974154831570829,ENSMUSG00000000296,Tpd52l1
ENSMUSG00000000305,0.0796451972477837,0,4.40735632396697,0,1,NA,ENSMUSG00000000305,Cdh4
ENSMUSG00000000308,0.911195185885488,0.96909532047853,4.18158859405547,0.231752908895962,0.816729934529747,NA,ENSMUSG00000000308,Ckmt1
ENSMUSG00000000339,450.201319848443,-0.00608628550498156,0.0964786883804691,-0.063084248004906,0.949699417584551,0.987484871275078,ENSMUSG00000000339,Rtca
ENSMUSG00000000340,508.596082689549,0.137972189815281,0.0822365599552559,1.67774758441197,0.093396385765655,0.271088144291695,ENSMUSG00000000340,Dbt
ENSMUSG00000000355,744.320645298043,0.063089179491322,0.0761936018631795,0.828011512103221,0.407663980309179,0.67132912381203,ENSMUSG00000000355,Mcts1
ENSMUSG00000000359,0.646130413213671,-0.978304276106558,2.40215471826457,-0.407261142951413,0.683816198590767,NA,ENSMUSG00000000359,Rem1
ENSMUSG00000000392,2.76947051531557,-2.81289910054588,1.40533791894386,-2.0015820128584,0.045329705129489,0.160757591993652,ENSMUSG00000000392,Fap
ENSMUSG00000000394,0,NA,NA,NA,NA,NA,ENSMUSG00000000394,Gcg
ENSMUSG00000000399,1251.73957685165,0.172398859896027,0.0619928930594762,2.78094554694564,0.00542008276423792,0.0300354995753909,ENSMUSG00000000399,Ndufa9
ENSMUSG00000000402,1.01416337640565,-0.686093026841455,2.04302913199895,-0.335821460445923,0.737005505968492,NA,ENSMUSG00000000402,Egfl6
ENSMUSG00000000409,63.9101732621168,0.0893896440802679,0.212406373982789,0.42084256891232,0.673870044720317,0.859086848347871,ENSMUSG00000000409,Lck
ENSMUSG00000000411,0.919850614668391,-0.90601069878196,2.20452303502058,-0.410978104737064,0.681088589744123,NA,ENSMUSG00000000411,Tssk3
ENSMUSG00000000416,1.84225829614028,3.01718570602401,1.59179939538629,1.89545599449848,0.0580320164227923,NA,ENSMUSG00000000416,Cttnbp2
ENSMUSG00000000439,363.446344212865,0.211815681382002,0.102422443728623,2.06805924239834,0.0386344526644637,0.142506840579392,ENSMUSG00000000439,Mkrn2
ENSMUSG00000000440,204.175271417704,0.930674414116385,0.142355902808768,6.5376594560086,6.24890074782138e-11,1.75191075403418e-09,ENSMUSG00000000440,Pparg
ENSMUSG00000000441,1223.55716285685,-6.50379505984281e-05,0.0526243247334921,-0.00123589140436106,0.999013901580664,0.999977900479412,ENSMUSG00000000441,Raf1
ENSMUSG00000000486,989.154379877309,-1.04382074497952,0.0624841703830705,-16.7053629516114,1.19796842624806e-62,2.91075610439143e-60,ENSMUSG00000000486,Sept1
ENSMUSG00000000544,0.169713763516104,0,4.40735632395645,0,1,NA,ENSMUSG00000000544,Gpa33
ENSMUSG00000000560,0.0960699364652409,0.924524776797266,4.40735632396697,0.209768557121136,0.83384831483053,NA,ENSMUSG00000000560,Gabra2
ENSMUSG00000000561,384.354152675507,-0.099158786735551,0.11004925486544,-0.901040055716821,0.367567022787569,0.636385780080186,ENSMUSG00000000561,Wdr77
ENSMUSG00000000562,139.091888526317,-0.537696521598128,0.178457261971372,-3.01302684832397,0.0025865603315992,0.0162665566801943,ENSMUSG00000000562,Adora3
ENSMUSG00000000563,4287.14068135295,0.127012985514249,0.0432179285529666,2.9388957260778,0.0032938387032318,0.0198174066995712,ENSMUSG00000000563,Atp5f1
ENSMUSG00000000568,3452.52004605139,-0.0264118829496663,0.0420255847930789,-0.628471515142747,0.529695101089497,0.765151033220133,ENSMUSG00000000568,Hnrnpd
ENSMUSG00000000600,1052.56352031035,-0.0116552503875305,0.0581131411351863,-0.200561356000657,0.841041577463494,0.94559018426803,ENSMUSG00000000600,Krit1
ENSMUSG00000000605,1056.59008408231,-0.0722285856623652,0.0636397433496359,-1.13496035434245,0.25639192995783,0.522712979406281,ENSMUSG00000000605,Clcn4
ENSMUSG00000000627,32.4817625275196,-1.95356252401054,0.377455652995305,-5.17560807079724,2.27169888797126e-07,3.82355571268484e-06,ENSMUSG00000000627,Sema4f
ENSMUSG00000000628,3979.1175454235,0.030225012298238,0.0458032224243833,0.659888337510238,0.509325488885453,0.751885208941792,ENSMUSG00000000628,Hk2
ENSMUSG00000000682,3264.77974926233,-0.234494372180214,0.0615862736729219,-3.80757526304626,0.000140336035632718,0.00132058021217045,ENSMUSG00000000682,Cd52
ENSMUSG00000000693,41.0779831417938,-0.504329611203801,0.286068980791887,-1.76296503664163,0.0779063867341005,0.24009675746358,ENSMUSG00000000693,Loxl3
ENSMUSG00000000766,1.06013667716026,-3.4622671915654,1.94927515960948,-1.7761818666273,0.0757029460708293,NA,ENSMUSG00000000766,Oprm1
ENSMUSG00000000787,11608.7681818166,0.152725162934917,0.0381018536762341,4.00833944281769,6.11471889255279e-05,0.000638139606011346,ENSMUSG00000000787,Ddx3x
ENSMUSG00000000794,272.729461569946,1.36878456631008,0.122740925777519,11.1518188219563,7.01574437332058e-29,6.99802038753535e-27,ENSMUSG00000000794,Kcnn3
ENSMUSG00000000811,121.669707351026,-0.176240170785553,0.179313372644197,-0.982861279037218,0.325675717282669,0.596348424535377,ENSMUSG00000000811,Txnrd3
ENSMUSG00000000817,0.499928065473991,-1.50776460116752,2.838174406664,-0.531244520289984,0.595249345496358,NA,ENSMUSG00000000817,Fasl
ENSMUSG00000000823,567.277505008319,0.195790064942904,0.0789408360523998,2.4802127103511,0.0131304026803042,0.0609024453247983,ENSMUSG00000000823,Zfp512b
ENSMUSG00000000826,4522.41212290251,0.0374145941519245,0.035377314908531,1.05758716422263,0.2902436969271,0.561181243028198,ENSMUSG00000000826,Dnajc5
ENSMUSG00000000827,913.238334402814,0.0951627690329661,0.0663668443077931,1.43389022071962,0.151603593008783,0.372271481562899,ENSMUSG00000000827,Tpd52l2
ENSMUSG00000000838,1765.32784820498,-0.109285768844407,0.0485805429977773,-2.2495789898727,0.0244756834011526,0.0991584334798299,ENSMUSG00000000838,Fmr1
ENSMUSG00000000876,669.72087188852,0.137862161153594,0.0764023410324744,1.80442325837891,0.0711649796451428,0.225347703164665,ENSMUSG00000000876,Pxmp4
ENSMUSG00000000881,122.565066016685,-0.0379364100330689,0.165157945191891,-0.229697759856433,0.818326635746513,0.934160125326341,ENSMUSG00000000881,Dlg3
ENSMUSG00000000889,0,NA,NA,NA,NA,NA,ENSMUSG00000000889,Dbh
ENSMUSG00000000915,1698.87167022999,-0.406387330342595,0.0482083449302375,-8.42981294899627,3.46218181256511e-17,1.7087309820764e-15,ENSMUSG00000000915,Hip1r
ENSMUSG00000000916,263.845194251881,0.0844103052860799,0.112488166911267,0.75039275333435,0.45301819413425,0.709553786382835,ENSMUSG00000000916,Nsun5
ENSMUSG00000000938,21.8051944668436,0.561957521670568,0.408076798582879,1.37708765512293,0.168485148920407,0.401247869105247,ENSMUSG00000000938,Hoxa10
ENSMUSG00000000942,10.8939621133969,-0.0976258994395467,0.570714757533794,-0.171059006536669,0.864177368756229,0.953912246041382,ENSMUSG00000000942,Hoxa4
